id,name,model,company,supplier,price,stock,height
1,"Vibrador Lush","Lush 3",Lovense,Amazon.com,150,250,69.9g
2,Paddle,Leather,"Fetish Fantasy",Erotismo.co,25,500,0.2kg
3,Espuelas,Cuero,"Fetish Fantasy",Erotismo.co,15,600,0.1kg
4,Máscara,Cuero,"Fetish Fantasy",Erotismo.co,20,400,0.15kg
5,Anillos,Silicona,Tenga,Amazon.com,10,800,0.05kg
6,"Estimulador de próstata",Prostate,Aneros,Erotismo.co,50,200,0.1kg
7,"Estimulador de clítoris","Satisfyer Pro 2",Satisfyer,Amazon.com,40,300,0.05kg
8,Dildo,Realistic,Pipedream,Erotismo.co,25,400,0.2kg
9,"Plug anal","Crystal Jellies","Doc Johnson",Amazon.com,15,500,0.1kg
10,"Bolas chinas",Silicona,LELO,Erotismo.co,20,600,0.05kg
11,Masturbador,Fleshlight,Fleshlight,Amazon.com,30,250,0.2kg
12,Consolador,G-Spot,"Doc Johnson",Erotismo.co,25,300,0.15kg
13,Arnés,Cuero,"Fetish Fantasy",Amazon.com,40,200,0.3kg
14,Tanga,Cuero,"Fetish Fantasy",Erotismo.co,15,400,0.05kg
15,Vestido,Cuero,"Fetish Fantasy",Amazon.com,20,500,0.2kg
16,Lubricante,Water-Based,Astroglide,Erotismo.co,10,800,0.1kg
17,Lubricante,Silicone-Based,Wet,Amazon.com,15,600,0.1kg
18,"Juguete para parejas",We-Vibe,We-Vibe,Erotismo.co,50,200,0.2kg
19,"Estimulador de pezones","Nipple Play","California Exotic",Amazon.com,20,300,0.05kg
20,Peluca,Rubia,"Fetish Fantasy",Erotismo.co,25,400,0.3kg
21,"Anillo vibrador",Cockring,Tenga,Amazon.com,50,250,25g
22,"Juguete sexual",Rabbit,"Fifty Shades of Grey",Amazon.com,100,150,100g
23,Vibrador,G-spot,Lelo,Amazon.com,150,200,100g
24,"Juguete sexual",Masturbador,Fleshlight,Amazon.com,80,100,200g
25,Vibrador,"Magic wand",Hitachi,Amazon.com,120,200,800g
26,"Anillo vibrador","Cockring 2",Tenga,Amazon.com,50,250,25g
27,"Juguete sexual","Rabbit 2","Fifty Shades of Grey",Amazon.com,100,150,100g
28,Vibrador,"G-spot 2",Lelo,Amazon.com,150,200,100g
29,"Juguete sexual","Masturbador 2",Fleshlight,Amazon.com,80,100,200g
30,Vibrador,"Magic wand 2",Hitachi,Amazon.com,120,200,800g
31,"Anillo vibrador","Cockring 3",Tenga,Amazon.com,50,250,25g
32,"Juguete sexual","Rabbit 3","Fifty Shades of Grey",Amazon.com,100,150,100g
33,Vibrador,"G-spot 3",Lelo,Amazon.com,150,200,100g
34,"Juguete sexual","Masturbador 3",Fleshlight,Amazon.com,80,100,200g
35,Vibrador,"Magic wand 3",Hitachi,Amazon.com,120,200,800g
36,"Anillo vibrador","Cockring 4",Tenga,Amazon.com,50,250,25g
37,"Juguete sexual","Rabbit 4","Fifty Shades of Grey",Amazon.com,100,150,100g
38,Vibrador,"G-spot 4",Lelo,Amazon.com,150,200,100g
39,"Juguete sexual","Masturbador 4",Fleshlight,Amazon.com,80,100,200g
40,Vibrador,"Magic wand 4",Hitachi,Amazon.com,120,200,800g
41,"Vibrador Venus","Venus 2000",Lovense,erotismo.co,100,350,59.9g
42,"Vibrador Rabbit","Rabbit Pearl",Fleshlight,erotismo.co,120,300,69.9g
43,"Vibrador Anal","Anal Beads",Lelo,erotismo.co,130,250,79.9g
44,"Vibrador de Punto G","G-Spot Vibrator",We-Vibe,erotismo.co,140,200,89.9g
45,"Vibrador de Pareja","Couples Vibrator","Tiani 3",erotismo.co,150,150,99.9g
46,"Vibrador de Próstata","Prostate Vibrator",Aneros,erotismo.co,160,100,109.9g
47,"Vibrador de Succión","Sucking Vibrator",Womanizer,erotismo.co,170,90,119.9g
48,"Vibrador de Cintura","Waist Vibrator","Fetish Fantasy",erotismo.co,180,80,129.9g
49,"Vibrador de Lengua","Tongue Vibrator","Je Joue",erotismo.co,190,70,139.9g
50,"Vibrador de Vela","Candle Vibrator",Jimmyjane,erotismo.co,200,60,149.9g
51,"Vibrador de Huevo","Egg Vibrator",Lovense,erotismo.co,210,50,159.9g
52,"Vibrador de Piso","Floor Vibrator",Fleshlight,erotismo.co,220,40,169.9g
53,"Vibrador de Pared","Wall Vibrator",Lelo,erotismo.co,230,30,179.9g
54,"Vibrador de Taza","Cup Vibrator",We-Vibe,erotismo.co,240,20,189.9g
55,"Vibrador de Pelota","Ball Vibrator","Tiani 3",erotismo.co,250,10,199.9g
56,"Vibrador de Cepillo","Brush Vibrator",Aneros,erotismo.co,260,9,209.9g
57,"Vibrador de Pluma","Feather Vibrator",Womanizer,erotismo.co,270,8,219.9g
58,"Vibrador de Calle","Street Vibrator","Fetish Fantasy",erotismo.co,280,7,229.9g
